run_id,seed,success,solution_generation,best_fitness
0,0,True,13,0.0
1,1,True,48,0.0
2,2,True,11,0.0
3,3,False,-1,34.46099290780142
4,4,True,42,0.0
5,5,False,-1,82.91608391608392
6,6,True,45,0.0
7,7,True,18,0.0
8,8,False,-1,38.40886699507389
9,9,True,15,0.0
10,10,True,22,0.0
11,11,True,44,0.0
12,12,False,-1,0.4998125234345707
13,13,True,8,0.0
14,14,True,5,0.0
15,15,True,3,0.0
16,16,True,11,0.0
17,17,True,27,0.0
18,18,True,18,0.0
19,19,True,17,0.0
20,20,True,14,0.0
21,21,True,28,0.0
22,22,True,22,0.0
23,23,True,11,0.0
24,24,True,45,0.0
25,25,True,12,0.0
26,26,True,31,0.0
27,27,True,6,0.0
28,28,False,-1,142.36917562724014
29,29,True,11,0.0
30,30,False,-1,108.78956999085086
31,31,True,10,0.0
32,32,True,29,0.0
33,33,True,12,0.0
34,34,True,9,0.0
35,35,True,23,0.0
36,36,True,14,0.0
37,37,True,26,0.0
38,38,True,10,0.0
39,39,True,8,0.0
40,40,True,11,0.0
41,41,True,15,0.0
42,42,True,13,0.0
43,43,True,21,0.0
44,44,True,6,0.0
45,45,True,17,0.0
46,46,True,22,0.0
47,47,True,44,0.0
48,48,True,5,0.0
49,49,True,12,0.0
