run_id,seed,success,solution_generation,best_fitness
0,0,True,36,0.0
1,1,True,26,0.0
2,2,False,-1,108.1901728844404
3,3,True,15,0.0
4,4,True,24,0.0
5,5,False,-1,58.37654626422563
6,6,False,-1,14.149602322939023
7,7,True,27,0.0
8,8,True,33,0.0
9,9,True,20,0.0
10,10,True,13,0.0
11,11,True,10,0.0
12,12,True,29,0.0
13,13,True,26,0.0
14,14,False,-1,0.12358498515931493
15,15,True,8,0.0
16,16,True,17,0.0
17,17,True,24,0.0
18,18,False,-1,0.6184721622788087
19,19,False,-1,188.873417721519
20,20,True,23,0.0
21,21,False,-1,8.62000962000962
22,22,False,-1,89.09009009009009
23,23,True,13,0.0
24,24,True,49,0.0
25,25,False,-1,58.85037406483791
26,26,True,10,0.0
27,27,False,-1,0.08157802233458611
28,28,False,-1,53.76951163852122
29,29,True,14,0.0
30,30,False,-1,24.619128949615714
31,31,False,-1,48.48453608247423
32,32,True,18,0.0
33,33,True,33,0.0
34,34,True,37,0.0
35,35,True,29,0.0
36,36,True,22,0.0
37,37,True,29,0.0
38,38,True,33,0.0
39,39,False,-1,5.357279084551812
40,40,True,21,0.0
41,41,True,17,0.0
42,42,False,-1,0.5746171712002519
43,43,True,19,0.0
44,44,True,8,0.0
45,45,False,-1,78.6812749003984
46,46,True,30,0.0
47,47,True,3,0.0
48,48,True,36,0.0
49,49,False,-1,35.63003663003663
