run_id,seed,success,solution_generation,best_fitness
0,0,True,31,0.0
1,1,True,3,0.0
2,2,False,-1,1.820542954518745
3,3,True,16,0.0
4,4,True,8,0.0
5,5,True,21,0.0
6,6,True,6,0.0
7,7,True,41,0.0
8,8,False,-1,0.4671540878580773
9,9,True,6,0.0
10,10,True,13,0.0
11,11,True,27,0.0
12,12,True,7,0.0
13,13,True,45,0.0
14,14,True,27,0.0
15,15,True,31,0.0
16,16,True,29,0.0
17,17,True,38,0.0
18,18,True,14,0.0
19,19,True,21,0.0
20,20,False,-1,5.420202236370446
21,21,True,40,0.0
22,22,True,20,0.0
23,23,True,0,0.0
24,24,False,-1,0.8421295017039698
25,25,True,23,0.0
26,26,True,4,0.0
27,27,True,27,0.0
28,28,True,1,0.0
29,29,True,14,0.0
30,30,True,6,0.0
31,31,True,0,0.0
32,32,False,-1,3.308178358584045
33,33,True,40,0.0
34,34,False,-1,16.25625539257981
35,35,True,44,0.0
36,36,False,-1,2.188775510204082
37,37,True,4,0.0
38,38,True,9,0.0
39,39,True,31,0.0
40,40,False,-1,1.5108804820890525
41,41,False,-1,2.3892560582952043
42,42,True,22,0.0
43,43,True,5,0.0
44,44,True,23,0.0
45,45,True,47,0.0
46,46,True,40,0.0
47,47,False,-1,22.98560863481911
48,48,True,12,0.0
49,49,False,-1,21.271714922048996
