run_id,seed,success,solution_generation,best_fitness
0,0,True,14,0.0
1,1,True,15,0.0
2,2,True,23,0.0
3,3,True,14,0.0
4,4,True,3,0.0
5,5,True,22,0.0
6,6,True,16,0.0
7,7,True,27,0.0
8,8,True,15,0.0
9,9,True,37,0.0
10,10,True,3,0.0
11,11,True,7,0.0
12,12,True,8,0.0
13,13,True,21,0.0
14,14,True,6,0.0
15,15,True,8,0.0
16,16,True,14,0.0
17,17,True,18,0.0
18,18,True,11,0.0
19,19,True,20,0.0
20,20,True,29,0.0
21,21,True,14,0.0
22,22,False,-1,22.224308109154247
23,23,True,43,0.0
24,24,True,2,0.0
25,25,True,22,0.0
26,26,True,21,0.0
27,27,True,17,0.0
28,28,True,27,0.0
29,29,True,16,0.0
30,30,True,5,0.0
31,31,True,7,0.0
32,32,True,23,0.0
33,33,True,14,0.0
34,34,True,7,0.0
35,35,True,11,0.0
36,36,True,18,0.0
37,37,True,20,0.0
38,38,True,21,0.0
39,39,False,-1,21.45508982035928
40,40,True,9,0.0
41,41,True,33,0.0
42,42,True,14,0.0
43,43,True,9,0.0
44,44,True,30,0.0
45,45,True,23,0.0
46,46,True,10,0.0
47,47,True,23,0.0
48,48,True,36,0.0
49,49,True,5,0.0
