run_id,seed,success,solution_generation,best_fitness
0,0,False,-1,218.78021978021977
1,1,False,-1,257.62068965517244
2,2,True,42,0.0
3,3,False,-1,297.5074626865672
4,4,False,-1,391.15686274509807
5,5,True,21,0.0
6,6,True,23,0.0
7,7,False,-1,216.3913043478261
8,8,False,-1,305.1224489795918
9,9,False,-1,201.3608768971332
10,10,True,49,0.0
11,11,False,-1,57.02707930367505
12,12,True,25,0.0
13,13,True,42,0.0
14,14,True,36,0.0
15,15,False,-1,170.18402282453638
16,16,True,49,0.0
17,17,False,-1,149.18773466833542
18,18,False,-1,150.13350125944584
19,19,False,-1,24.136154168412233
20,20,False,-1,104.35557506584723
21,21,False,-1,206.97227036395148
22,22,False,-1,266.85714285714283
23,23,False,-1,287.46153846153845
24,24,False,-1,202.38983050847457
25,25,False,-1,92.16770186335404
26,26,False,-1,80.57715839564922
27,27,False,-1,76.22007722007721
28,28,False,-1,99.25062656641605
29,29,False,-1,136.7726750861079
30,30,False,-1,141.18009478672985
31,31,True,38,0.0
32,32,True,46,0.0
33,33,False,-1,122.83900928792569
34,34,False,-1,1.436548223350254
35,35,False,-1,136.7726750861079
36,36,False,-1,8.221547683086145
37,37,False,-1,85.51766402307138
38,38,False,-1,121.44897959183673
39,39,True,33,0.0
40,40,True,20,0.0
41,41,False,-1,153.63917525773195
42,42,False,-1,60.72839506172839
43,43,False,-1,118.76047904191617
44,44,True,18,0.0
45,45,True,13,0.0
46,46,True,44,0.0
47,47,False,-1,427.57142857142856
48,48,False,-1,176.77777777777777
49,49,False,-1,79.75370121130551
